low,ltp,open,previous_close,symbol
600.10,602.50,600.10,610.00,ACLBSL
225.10,225.80,227.00,228.00,ADBL
420.30,429.00,437.00,430.00,AHL
176.50,180.30,183.00,181.00,AHPC
213.00,213.10,223.00,220.10,AKJCL
176.10,176.60,182.50,179.00,AKPL
627.30,640.00,631.00,640.00,ALBSL
537.10,559.60,570.00,569.00,ALICL
"1,876.20","1,876.20","1,960.00","1,954.00",ANLB
175.00,176.60,179.50,179.10,API
584.00,589.00,590.00,595.00,AVYAN
243.10,246.50,250.20,253.90,BARUN
"4,106.50","4,161.00","4,106.50","4,026.00",BBC
331.10,336.00,343.10,348.00,BEDC
310.00,315.00,324.00,327.00,BFC
561.00,578.00,581.00,584.00,BGWT
455.00,455.00,475.00,475.90,BHDC
321.00,321.00,341.00,347.00,BHL
478.00,478.00,490.10,499.90,BHPL
450.10,463.50,450.10,457.20,BNHC
"20,033.80","21,605.10","20,033.80","19,641.00",BNL
"16,050.30","16,327.00","16,467.50","16,144.70",BNT
906.00,906.00,906.00,905.00,BOKD86
300.00,300.20,303.00,303.70,BPCL
"1,290.00","1,300.00","1,290.00","1,269.20",BPW
8.33,8.35,8.33,8.50,C30MF
818.00,820.00,840.00,830.00,CBBL
983.00,996.00,983.00,"1,003.00",CBLD88
"1,005.00","1,005.00","1,010.00","1,010.00",CCBD88
324.10,324.20,330.00,335.00,CFCL
798.70,805.00,834.20,818.00,CGH
455.00,458.00,460.00,462.00,CHCL
936.00,958.00,990.00,974.90,CHDC
285.00,290.00,298.00,302.90,CHL
"2,075.00","2,076.00","2,115.00","2,100.00",CIT
568.40,569.00,577.50,587.00,CITY
621.00,670.00,661.00,661.00,CKHL
426.00,427.00,430.00,434.00,CLI
7.44,7.58,7.56,7.71,CMF2
405.50,410.00,430.50,422.10,CORBL
"1,141.00","1,141.00","1,156.40","1,180.00",CYCL
160.30,161.00,161.00,164.00,CZBIL
730.00,734.00,745.00,736.00,DDBL
188.00,189.00,196.80,193.00,DHPL
798.00,800.00,820.00,830.00,DLBS
360.10,365.00,390.00,387.00,DOLTI
446.90,453.00,470.40,461.20,DORDI
495.00,499.10,495.00,502.40,EBL
906.30,906.30,906.30,906.30,EBLD86
337.00,339.00,354.90,348.00,EDBL
426.10,431.00,454.00,447.90,EHPL
739.90,740.00,765.00,765.10,ENL
570.00,580.00,585.00,580.00,FMDBL
990.00,"1,009.00","1,030.00","1,028.80",FOWAD
901.00,901.00,905.00,920.00,GBBD85
356.00,356.60,357.00,359.10,GBBL
"1,005.10","1,005.10","1,005.10","1,025.00",GBD80/81
902.00,902.00,902.00,900.00,GBILD86/87
181.10,181.90,182.00,185.00,GBIME
525.00,527.00,530.00,535.00,GBLBS
475.00,477.00,499.00,493.00,GCIL
426.00,426.10,438.90,436.00,GFCL
144.00,145.80,151.70,149.00,GHL
8.15,8.46,8.15,8.30,GIBF1
764.00,765.70,793.60,778.10,GILB
900.00,915.00,914.00,914.00,GLBSL
204.10,204.10,211.00,211.80,GLH
820.00,850.00,822.00,836.00,GMFBS
337.00,337.00,345.10,352.00,GMFIL
343.00,348.90,364.00,356.90,GRDBL
580.00,583.00,618.00,614.00,GUFL
416.00,416.00,430.00,426.60,GVL
"1,100.00","1,100.00","1,100.00","1,121.00",GWFD83
8.46,8.54,8.63,8.80,H8020
840.00,843.50,860.00,857.00,HATHY
186.10,187.00,187.60,187.50,HBL
135.00,135.10,139.00,139.00,HDHPC
"1,490.00","1,490.00","1,548.00","1,520.00",HDL
545.00,548.00,545.20,553.40,HEI
328.00,334.00,340.00,344.80,HHL
167.50,167.90,170.00,170.00,HIDCL
100.30,100.60,100.90,100.70,HIDCLP
547.00,553.00,556.50,565.00,HLBSL
376.00,376.00,380.00,380.00,HLI
267.00,267.00,287.40,284.00,HPPL
604.90,605.40,615.00,615.00,HRL
279.30,283.90,302.90,297.00,HURJA
470.00,471.60,490.00,485.00,ICFC
"1,107.50","1,107.50","1,107.50","1,130.00",ICFCD83
520.10,525.00,530.00,538.00,IGI
325.00,329.00,351.50,356.00,IHL
662.20,675.00,667.00,679.00,ILBS
510.30,512.50,524.00,524.00,ILI
"1,001.00","1,020.00","1,039.00","1,020.00",JALPA
908.00,910.00,908.00,905.00,JBBD87
283.00,284.00,288.00,290.00,JBBL
"1,219.00","1,230.00","1,236.10","1,260.00",JBLB
352.30,354.00,370.00,363.00,JFL
350.90,350.90,397.60,389.90,JOSHI
840.00,856.00,860.00,862.00,JSLBB
140.00,140.60,144.80,142.00,KBL
931.00,931.00,968.00,983.50,KBSH
8.42,8.55,8.42,8.55,KDBY
766.00,793.00,785.00,793.00,KDL
7.86,7.90,7.98,8.14,KEF
230.50,240.00,245.90,245.90,KKHC
787.00,787.00,790.00,801.80,KLBSL
628.00,636.00,637.00,637.00,KMCDB
395.00,400.00,403.30,411.10,KPCL
350.00,354.80,368.00,361.00,KRBL
332.60,335.00,336.20,342.00,KSBBL
372.10,372.10,375.00,376.50,LBBL
906.00,906.00,906.00,900.00,LBLD88
180.40,181.00,192.70,189.00,LEC
9.40,9.40,9.42,9.50,LEMF
"1,315.00","1,315.00","1,349.00","1,327.70",LICN
720.00,735.00,735.10,750.00,LLBS
158.00,158.10,160.90,159.00,LSL
7.95,7.95,8.00,7.97,LUK
7.70,7.81,7.70,7.80,LVF2
370.10,371.00,402.90,395.00,MAKAR
658.00,670.00,673.40,687.00,MANDU
302.10,304.50,315.00,310.00,MBJC
176.40,176.80,177.50,177.10,MBL
910.00,910.00,910.00,900.00,MBLD87
318.50,319.10,332.00,338.00,MCHL
380.00,389.00,386.50,390.00,MDB
217.00,217.00,217.00,231.00,MDBPO
275.00,280.00,292.00,297.10,MEHL
207.10,208.00,213.00,217.00,MEL
581.30,588.00,595.00,596.00,MEN
515.50,522.10,520.00,525.00,MERO
495.10,499.00,505.00,510.00,MFIL
915.00,930.20,945.70,927.20,MFLD85
495.20,505.00,538.10,549.00,MHCL
368.00,369.00,382.30,390.00,MHL
235.00,238.00,251.90,247.00,MHNL
932.10,934.00,960.00,959.00,MKCL
280.50,281.00,300.00,296.00,MKHC
354.00,354.00,379.40,372.00,MKHL
480.00,487.80,491.10,501.00,MKJC
681.10,758.00,690.00,690.00,MKLB
770.00,785.00,777.20,793.00,MLBBL
312.10,315.20,317.00,319.00,MLBL
667.00,680.00,667.00,654.00,MLBS
"1,560.00","1,560.00","1,570.00","1,570.00",MLBSL
7.17,7.23,7.17,7.29,MMF1
516.60,519.00,525.00,521.80,MMFDB
395.00,420.00,413.00,420.00,MMKJL
345.00,345.10,358.00,351.00,MNBBL
337.20,337.20,351.30,356.00,MPFL
606.00,606.00,615.00,616.00,MSHL
826.20,826.20,844.00,860.00,MSLB
392.00,407.00,422.00,414.00,NABBC
429.00,429.50,435.00,435.00,NABIL
506.10,506.10,525.30,515.00,NADEP
7.94,7.94,7.95,7.95,NBF2
7.25,7.28,7.25,7.39,NBF3
214.30,214.50,219.00,217.00,NBL
902.00,902.00,902.00,900.00,NBLD85
902.00,902.00,905.00,905.00,NBLD87
914.00,914.00,939.40,921.00,NCCD86
"1,540.00","1,542.00","1,602.30","1,635.00",NESDO
336.10,337.00,358.70,353.00,NFS
287.00,290.00,300.00,300.00,NGPL
420.00,428.00,425.00,432.50,NHDL
149.70,150.00,154.80,153.50,NHPC
"1,032.00","1,032.00","1,032.00","1,015.00",NIBD2082
7.95,8.11,7.95,7.98,NIBLGF
7.13,7.24,7.22,7.36,NIBSF2
408.00,412.00,415.00,415.00,NICA
969.00,969.10,969.10,988.00,NICAD8182
8.39,8.61,8.40,8.40,NICFC
9.17,9.35,9.17,9.35,NICGF
7.57,7.57,8.03,8.19,NICGF2
805.10,808.00,830.50,820.10,NICL
530.10,534.90,547.50,537.00,NICLBSL
8.69,8.74,8.69,8.69,NICSF
201.10,202.00,205.80,206.70,NIFRA
785.00,788.00,785.00,787.10,NIL
162.00,162.60,163.00,164.00,NIMB
135.20,137.90,137.90,135.20,NIMBPO
510.00,519.00,510.00,519.00,NLBBL
732.00,732.00,750.00,754.00,NLG
592.00,593.00,592.00,597.00,NLIC
549.00,551.00,556.10,565.00,NLICL
176.00,177.20,177.00,177.00,NMB
9.60,9.80,9.64,9.46,NMB50
999.00,999.00,999.00,999.00,NMBD2085
500.00,500.00,503.00,510.00,NMBMF
"1,043.00","1,046.00","1,070.00","1,062.00",NMFBS
732.00,732.00,736.10,748.00,NRIC
335.00,338.00,367.00,360.00,NRM
520.00,521.10,540.00,540.00,NRN
9.02,9.04,9.02,9.01,NSIF2
835.00,836.00,850.00,843.00,NTC
590.00,590.00,597.00,609.00,NUBL
731.00,739.90,764.00,775.00,NWCL
265.10,280.00,283.30,289.00,NYADI
740.00,742.00,750.20,763.80,OHL
882.20,882.20,882.20,900.10,PBD85
999.50,"1,000.10",999.90,"1,000.30",PBD88
992.00,992.00,992.00,"1,001.00",PBLD84
189.00,190.00,189.10,190.00,PCBL
342.10,354.00,360.50,365.00,PFL
298.00,298.00,315.00,315.00,PHCL
237.50,241.90,247.30,252.00,PMHPL
489.00,493.00,497.20,495.00,PMLI
253.00,253.00,273.90,269.00,PPCL
310.10,311.40,325.00,329.90,PPL
760.30,761.00,761.00,765.00,PRIN
300.00,302.00,309.00,309.90,PROFL
8.26,8.32,8.26,8.40,PRSF
141.20,141.50,144.00,144.00,PRVU
8.40,8.50,8.40,8.44,PSF
242.00,247.00,247.10,249.00,RADHI
443.00,444.00,470.00,462.00,RAWA
"13,755.00","13,949.00","13,984.20","13,710.00",RBCL
"10,746.70","10,746.70","11,082.30","10,865.00",RBCLPO
318.00,328.40,334.00,327.50,RFPL
276.40,284.00,302.90,297.00,RHGCL
271.60,276.40,276.60,278.60,RHPL
184.20,185.90,188.00,189.50,RIDI
342.00,344.80,354.00,360.00,RLFL
7.50,7.61,7.50,7.61,RMF1
8.33,8.33,8.33,8.50,RMF2
417.00,419.00,422.10,427.00,RNLI
508.00,516.60,518.00,518.00,RSDC
705.00,716.00,721.00,719.00,RURU
572.00,575.00,583.00,593.00,SABSL
287.20,290.00,290.10,294.00,SADBL
9.72,9.75,9.72,9.71,SAEF
8.60,8.62,8.60,8.65,SAGF
515.70,520.00,525.00,533.00,SAHAS
640.00,640.00,647.00,647.00,SALICO
"1,630.00","1,720.70","1,650.00","1,656.10",SAMAJ
234.00,234.20,238.00,236.00,SANIMA
245.00,250.00,251.90,251.90,SAPDBL
7.55,7.55,7.55,7.58,SBCF
281.50,283.00,282.10,285.00,SBI
"1,015.00","1,015.00","1,015.00","1,016.50",SBID83
215.00,216.70,217.10,219.00,SBL
907.10,907.10,907.10,902.00,SBLD84
500.10,505.00,500.10,508.00,SCB
582.20,583.00,591.00,583.00,SDLBSL
327.00,327.00,327.00,338.00,SDLBSLP
7.87,8.00,8.03,8.19,SEF
294.10,296.00,305.00,305.50,SFCL
7.62,7.91,7.62,7.76,SFEF
9.38,9.55,9.39,9.38,SFMF
300.00,307.00,309.00,315.00,SGHC
490.00,493.00,504.00,507.00,SGIC
205.00,209.90,210.00,212.70,SHEL
358.00,359.90,368.00,370.80,SHINE
468.00,468.00,483.00,483.10,SHIVM
428.30,428.50,440.00,440.00,SHL
825.00,890.00,882.30,865.00,SHLB
334.30,337.00,343.00,337.00,SHPC
682.10,690.00,682.10,695.00,SICL
345.20,350.00,366.00,359.80,SIFC
7.90,7.90,8.16,8.04,SIGS2
462.00,470.00,495.00,486.00,SIKLES
300.00,315.00,324.00,318.10,SINDU
271.50,271.80,279.00,280.00,SJCL
457.00,457.00,466.00,465.00,SJLIC
810.00,810.00,820.00,815.50,SKBBL
562.00,562.00,562.00,569.00,SLBBL
770.00,770.00,778.20,763.00,SLBSL
7.54,7.60,7.54,7.67,SLCF
577.00,580.00,581.20,593.00,SMATA
941.10,941.10,950.30,969.60,SMB
866.40,866.40,866.50,884.00,SMFBS
668.00,668.00,687.00,700.00,SMH
445.00,457.90,462.00,471.00,SMHL
362.70,362.70,380.00,380.40,SMJC
575.30,583.00,575.30,586.00,SNLI
440.00,440.00,458.00,458.50,SONA
585.00,586.40,604.70,617.00,SPC
243.00,244.80,248.50,252.90,SPDL
451.10,457.00,473.00,473.00,SPHL
714.30,724.00,720.00,724.00,SPIL
628.10,632.00,650.00,658.00,SPL
415.50,420.00,421.00,427.00,SRLI
159.00,160.00,169.00,166.20,SSHL
"5,125.00","5,125.00","5,350.00","5,300.00",STC
697.20,699.00,700.00,710.00,SWBBL
658.00,658.20,670.00,670.00,SWMF
370.00,379.90,399.80,395.00,TAMOR
537.20,543.00,552.00,551.00,TPC
735.00,735.00,769.00,755.00,TRH
472.40,479.00,490.00,500.00,TSHL
506.00,506.10,545.00,535.00,TVCL
515.00,515.20,529.00,529.90,UAIL
338.60,347.00,348.00,355.00,UHEWA
"1,060.40","1,096.40","1,079.00","1,101.00",ULBSL
305.00,309.00,318.00,321.00,ULHC
246.10,250.00,254.00,258.10,UMHL
347.00,347.10,361.00,364.00,UMRH
241.00,243.00,255.90,252.00,UNHPL
"39,500.00","39,607.00","41,100.00","41,900.00",UNL
"1,210.00","1,210.20","1,211.00","1,222.30",UNLB
203.90,207.00,215.00,212.80,UPCL
197.00,197.00,203.90,200.00,UPPER
343.10,347.00,359.10,366.20,USHEC
443.20,443.20,476.00,485.00,USHL
"1,072.00","1,090.00","1,072.00","1,090.00",USLB
580.30,588.00,585.00,591.20,VLBS
519.10,529.00,548.90,542.00,VLUCL
800.10,801.00,800.10,816.00,WNLB
