announcement_date,bonus,cash,name,symbol,total
2024-02-15,10.00,0.5263,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,10.5263
2024-02-09,4.00,0.21,Himalayan Reinsurance Limited,HRL,4.21
2024-02-06,7.5,7.5,National Laghubitta Bittiya Sanstha Limited,NMFBS,15.00
2024-02-05,5.5,0.289,United Idi-Mardi and R.B. Hydropower Limited,UMRH,5.789
2024-02-05,,11.00,Siddhartha Premier Insurance Limited,SPIL,11.00
2024-02-04,14.077,,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,14.077
2024-01-30,7.00,0.3684,Swarojgar Laghubitta Bittiya Sanstha Limited,SLBBL,7.3684
2024-01-28,7.75,0.4078,Asian Life Insurance Company Limited,ALICL,8.1578
2024-01-19,10.2612,0.5401,United Ajod Insurance Limited,UAIL,10.8013
2024-01-14,5.5,0.2895,NLG Insurance Company Limited,NLG,5.7895
2024-01-14,100.00,100.00,Yeti Brewery Limited,YETIBL,200.00
2024-01-11,15.00,0.79,Salt Trading Corporation Limited,STC,15.79
2024-01-10,16.00,0.84,Reliable Nepal Life Insurance Limited,RNLI,16.84
2024-01-10,8.63,6.37,Himalayan Everest Insurance Limited,HEI,15.00
2024-01-08,15.00,0.7895,Mountain Energy Nepal Limited,MEN,15.7895
2024-01-02,5.00,0.2632,Citizen Life Insurance Company Limited,CLI,5.2632
2023-12-26,,17.00,NMB Capital Limited,NMBCAP,17.00
2023-12-26,14.25,5.26,Laxmi Steels Limited,LAXMI,19.51
2023-12-26,8.55,0.45,Universal Power Company Limited,UPCL,9.00
2023-12-24,10.00,0.5263,Kalika Power Company Limited,KPCL,10.5263
2024-02-15,10.00,0.5263,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,10.5263
2024-02-09,4.00,0.21,Himalayan Reinsurance Limited,HRL,4.21
2024-02-06,7.5,7.5,National Laghubitta Bittiya Sanstha Limited,NMFBS,15.00
2024-02-05,5.5,0.289,United Idi-Mardi and R.B. Hydropower Limited,UMRH,5.789
2024-02-05,,11.00,Siddhartha Premier Insurance Limited,SPIL,11.00
2024-02-04,14.077,,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,14.077
2024-01-30,7.00,0.3684,Swarojgar Laghubitta Bittiya Sanstha Limited,SLBBL,7.3684
2024-01-28,7.75,0.4078,Asian Life Insurance Company Limited,ALICL,8.1578
2024-01-19,10.2612,0.5401,United Ajod Insurance Limited,UAIL,10.8013
2024-01-14,5.5,0.2895,NLG Insurance Company Limited,NLG,5.7895
2024-01-14,100.00,100.00,Yeti Brewery Limited,YETIBL,200.00
2024-01-11,15.00,0.79,Salt Trading Corporation Limited,STC,15.79
2024-01-10,16.00,0.84,Reliable Nepal Life Insurance Limited,RNLI,16.84
2024-01-10,8.63,6.37,Himalayan Everest Insurance Limited,HEI,15.00
2024-01-08,15.00,0.7895,Mountain Energy Nepal Limited,MEN,15.7895
2024-01-02,5.00,0.2632,Citizen Life Insurance Company Limited,CLI,5.2632
2023-12-26,,17.00,NMB Capital Limited,NMBCAP,17.00
2023-12-26,14.25,5.26,Laxmi Steels Limited,LAXMI,19.51
2023-12-26,8.55,0.45,Universal Power Company Limited,UPCL,9.00
2023-12-24,10.00,0.5263,Kalika Power Company Limited,KPCL,10.5263
2024-02-15,10.00,0.5263,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,10.5263
2024-02-09,4.00,0.21,Himalayan Reinsurance Limited,HRL,4.21
2024-02-06,7.5,7.5,National Laghubitta Bittiya Sanstha Limited,NMFBS,15.00
2024-02-05,5.5,0.289,United Idi-Mardi and R.B. Hydropower Limited,UMRH,5.789
2024-02-05,,11.00,Siddhartha Premier Insurance Limited,SPIL,11.00
2024-02-04,14.077,,Suryodaya Womi Laghubitta Bittiya Sanstha Limited,SWMF,14.077
